timestamp,crossing_point
0,POINT (18.95756921867927 50.277315914199306)
1,POINT (18.95731065379615 50.277387720104784)
2,POINT (18.957073753287162 50.27744336001257)
3,POINT (18.956967229716096 50.277526935880715)
4,POINT (18.956713067017667 50.277746081046345)
5,POINT (18.955961206307517 50.27794673963524)
6,POINT (18.955915612568624 50.27802034786629)
7,POINT (18.955855966278467 50.27811651611926)
8,POINT (18.955887129812737 50.27836988756045)
9,POINT (18.955832942051472 50.27846375715488)
10,POINT (18.95574961567175 50.27868484043186)
11,POINT (18.955756555010712 50.278909373404716)
12,POINT (18.955790114315963 50.279102336997276)
13,POINT (18.955767733667468 50.279287365002)
14,POINT (18.955713882232697 50.27941700942345)
15,POINT (18.95569432616031 50.27949923446445)
16,POINT (18.955707553740762 50.279612639714784)
17,POINT (18.955800502626253 50.279748085593916)
18,POINT (18.955891399212863 50.27978471353127)
19,POINT (18.95621904101192 50.27992502717183)
20,POINT (18.956390460490947 50.28002358198102)
21,POINT (18.95641427890968 50.28016088767457)
22,POINT (18.956333494387117 50.28040658539866)
23,POINT (18.956293920600043 50.280493383246544)
24,POINT (18.95624281523249 50.280576699174794)
25,POINT (18.95618228804372 50.280715686822504)
26,POINT (18.956257172308444 50.28085499354145)
27,POINT (18.956689370242444 50.281157036342314)
28,POINT (18.95664045312804 50.28118969920913)
29,POINT (18.956489924811567 50.28128151465385)
30,POINT (18.956115284704396 50.281461170208956)
31,POINT (18.955895997376096 50.28158729204325)
32,POINT (18.95555880363386 50.28180558254563)
33,POINT (18.955329115386895 50.28195689866242)
34,POINT (18.955311439055407 50.28198861863059)
35,POINT (18.955006149431558 50.28220248906158)
36,POINT (18.954887552620168 50.28230739073161)
37,POINT (18.95491727394199 50.282550561254425)
38,POINT (18.954716918634677 50.28269608425502)
39,POINT (18.95470179715123 50.28278496342784)
40,POINT (18.954570245639108 50.28297384002736)
41,POINT (18.95430447785913 50.28317759698058)
42,POINT (18.95422068453862 50.2833392107748)
43,POINT (18.9541329385424 50.283473181320936)
44,POINT (18.95421404956456 50.28357821083729)
45,POINT (18.954330659440597 50.28365470638384)
46,POINT (18.954277077069854 50.284033733612866)
47,POINT (18.954324221833613 50.284189952846994)
48,POINT (18.954464488037367 50.284391747029694)
49,POINT (18.954614481144592 50.28468413886132)
50,POINT (18.954565767404965 50.284900625978224)
51,POINT (18.954502775940046 50.285174645810706)
52,POINT (18.95441465876413 50.285261519630616)
53,POINT (18.954106510519498 50.285334513341354)
54,POINT (18.953911147407055 50.28536532949269)
55,POINT (18.95363377672941 50.28542856810903)
56,POINT (18.953460151828182 50.285504787856276)
57,POINT (18.953254662833928 50.285524300532224)
58,POINT (18.95303727704937 50.28557985042843)
59,POINT (18.952908097924624 50.28550210144152)
60,POINT (18.952686142245405 50.28536610035443)
61,POINT (18.952506253929855 50.28524286800688)
62,POINT (18.952739223576085 50.28499480011947)
63,POINT (18.952617232956477 50.28489802737131)
64,POINT (18.952692279497594 50.284677085967964)
65,POINT (18.951972444390982 50.28488880239854)
66,POINT (18.951682448274827 50.285006532313396)
67,POINT (18.951332413251606 50.2851698557734)
68,POINT (18.95131310563744 50.285181831586264)
69,POINT (18.951653624779176 50.286398259817354)
70,POINT (18.951653624779173 50.286398259817354)
71,POINT (18.951653624779173 50.286398259817354)
72,POINT (18.9503114204835 50.286126768425724)
73,POINT (18.95020787736608 50.28610911303549)
74,POINT (18.95006143097702 50.28607983662723)
75,POINT (18.95011606660387 50.28574033617629)
76,POINT (18.95005829047454 50.28580127582238)
77,POINT (18.949881175308786 50.28598988965529)
78,POINT (18.949049339517394 50.28631908928577)
79,POINT (18.94911344042104 50.28641523864287)
80,POINT (18.949151265036978 50.286472007200096)
81,POINT (18.949170649368714 50.28650105598756)
82,POINT (18.94899316802437 50.286547092962984)
83,POINT (18.94866440724402 50.286435871885324)
84,POINT (18.948254412811853 50.28636229406088)
85,POINT (18.94808922692064 50.286238346631805)
86,POINT (18.947805278298762 50.28621821119529)
87,POINT (18.94760053088382 50.28612674070814)
88,POINT (18.947393885119908 50.286095828452)
89,POINT (18.947206556521998 50.2861719797619)
90,POINT (18.9469917043416 50.286057255528675)
91,POINT (18.94688245616586 50.28591888261369)
92,POINT (18.946929214417807 50.285431071600705)
93,POINT (18.946842763491155 50.285359534806986)
94,POINT (18.94662153729798 50.285330151348816)
95,POINT (18.94643600630687 50.285318398521895)
96,POINT (18.94635897526014 50.28531351928944)
97,POINT (18.94631909492519 50.28528111412737)
98,POINT (18.946362775071577 50.285128896246235)
99,POINT (18.946505282455192 50.28496695849115)
100,POINT (18.94660594177741 50.284802545164354)
101,POINT (18.946612948575545 50.2845717115072)
102,POINT (18.946544909518476 50.28444096812233)
103,POINT (18.946471086987497 50.28426892357441)
104,POINT (18.94636790768215 50.284080944304606)
105,POINT (18.9462143891932 50.28396756440768)
106,POINT (18.94605742170218 50.28384302256931)
107,POINT (18.94584605844349 50.28374166900555)
108,POINT (18.945665331216876 50.283634485254446)
109,POINT (18.94538418443981 50.28363878723711)
110,POINT (18.944938657573857 50.28363507831902)
111,POINT (18.94489730793313 50.283644122026445)
112,POINT (18.94467383799654 50.28359967908075)
113,POINT (18.944601692385334 50.28357367790045)
114,POINT (18.944607954867895 50.28348536935204)
115,POINT (18.944900868102064 50.283347854782)
116,POINT (18.944960846972606 50.283279589793885)
117,POINT (18.945012871485016 50.283229714284026)
118,POINT (18.945034093504088 50.28316969869782)
119,POINT (18.945007406471778 50.2828625374831)
120,POINT (18.944824456288217 50.2827613930956)
121,POINT (18.944732007711675 50.28260076433216)
122,POINT (18.94455317748351 50.28251075762421)
123,POINT (18.944377173759467 50.28238598172478)
124,POINT (18.94422364563925 50.28226931049027)
125,POINT (18.943960027337038 50.28206756114614)
126,POINT (18.943841013992962 50.28201863174183)
127,POINT (18.94370238522445 50.28190337718921)
128,POINT (18.943688143147202 50.281817648148056)
129,POINT (18.943789832316554 50.2817429997138)
130,POINT (18.944072666053398 50.28170644680459)
131,POINT (18.944346210253798 50.28174825521005)
132,POINT (18.94450070068887 50.28189374655016)
133,POINT (18.944663763917983 50.28208693866459)
134,POINT (18.944921332597893 50.28229430602956)
135,POINT (18.945345760827987 50.28225356528831)
136,POINT (18.945484100945297 50.28236516661667)
137,POINT (18.945658328949836 50.28248895108612)
138,POINT (18.94561040393352 50.28266892472584)
139,POINT (18.945467381947132 50.28279144334231)
140,POINT (18.94535224131713 50.2828464427806)
141,POINT (18.945123350499575 50.28292633610276)
142,POINT (18.94502663744803 50.283131655325015)
143,POINT (18.945063508790277 50.28326525015687)
144,POINT (18.94494362889846 50.28350979311121)
145,POINT (18.944902908043094 50.28362769681845)
146,POINT (18.944806251732697 50.28379877663584)
147,POINT (18.944566129713127 50.28394872108216)
148,POINT (18.944244058658207 50.28414314215275)
149,POINT (18.943945310788862 50.28424430199708)
150,POINT (18.943649331945227 50.284339206438084)
151,POINT (18.94326940125325 50.28448768884566)
152,POINT (18.943087406802828 50.28459814283735)
153,POINT (18.942846265182478 50.28471733284126)
154,POINT (18.942414369823616 50.284889297344634)
155,POINT (18.9421367834126 50.28506825666907)
156,POINT (18.9417909792899 50.285295748294686)
157,POINT (18.94176546680215 50.285210229153634)
158,POINT (18.942152850036127 50.28536785690737)
159,POINT (18.94259995561735 50.28551656018528)
160,POINT (18.9428754 50.28588899999999)
161,POINT (18.943001584507524 50.286206327761484)
162,POINT (18.943200012828598 50.286335619208195)
163,POINT (18.943064755666438 50.28631499826992)
164,POINT (18.943222953465536 50.28659693013544)
165,POINT (18.943337230129945 50.28665583607785)
166,POINT (18.943460822905685 50.28685299964792)
167,POINT (18.942852142248373 50.28763624395462)
168,POINT (18.942997524408206 50.28773691957531)
169,POINT (18.94304066877717 50.28737553347534)
170,POINT (18.943129174035025 50.28740105737917)
171,POINT (18.943228465261043 50.287429698716984)
172,POINT (18.943294649784917 50.287448791153956)
173,POINT (18.9431008820009 50.287392921451186)
174,POINT (18.942853338500782 50.288456303414144)
175,POINT (18.942936640132213 50.288667865887426)
176,POINT (18.943625289434742 50.28895232674015)
177,POINT (18.9437157 50.28937929999999)
178,POINT (18.943620956913676 50.28940917489606)
179,POINT (18.94336236304634 50.2891814691465)
180,POINT (18.943319959854833 50.28930547004546)
181,POINT (18.94324120133057 50.28941982203586)
182,POINT (18.943070111449444 50.289524636198614)
183,POINT (18.943047018889416 50.289666139549354)
184,POINT (18.943082122568637 50.289834173003605)
185,POINT (18.943333169939113 50.28995972244929)
186,POINT (18.943542971668432 50.29009809668443)
187,POINT (18.943786870362928 50.29025309824412)
188,POINT (18.94408925622402 50.29041804022267)
189,POINT (18.94446965952301 50.2904407247389)
190,POINT (18.944604131799338 50.290710954544174)
191,POINT (18.944865225361077 50.29089165252037)
192,POINT (18.94496947605741 50.290964568905636)
193,POINT (18.945230755669076 50.29114789561744)
194,POINT (18.945410480148904 50.29136228532531)
195,POINT (18.945308692751837 50.29154247353196)
196,POINT (18.945571155302417 50.29178824575849)
197,POINT (18.945877260103615 50.29206711421794)
198,POINT (18.946181532700212 50.29226473269645)
199,POINT (18.94648239219854 50.2925247339891)
200,POINT (18.946674773546803 50.29270831247692)
201,POINT (18.947161554224618 50.29296460801906)
202,POINT (18.94771701008337 50.29320062076273)
203,POINT (18.948238528641983 50.29335178910571)
204,POINT (18.948373554172246 50.29355167961978)
205,POINT (18.948469100680473 50.29361450102698)
206,POINT (18.94864993469761 50.293845741004134)
207,POINT (18.94882307448829 50.29403950535884)
208,POINT (18.948847416914692 50.29424010196378)
209,POINT (18.94902962216748 50.29460418468347)
210,POINT (18.94916573675927 50.29475747431446)
211,POINT (18.9494981093294 50.29506722945573)
212,POINT (18.94973100990043 50.29524782933909)
213,POINT (18.949833003629944 50.29554834897862)
214,POINT (18.95010931142597 50.29578024465763)
215,POINT (18.950495458619873 50.29618726555018)
216,POINT (18.95071484121578 50.29649131153778)
217,POINT (18.950875481406698 50.29668814400615)
218,POINT (18.950980052991884 50.29683599094897)
219,POINT (18.951218863537687 50.29711602804028)
220,POINT (18.951277362226357 50.29726252754601)
221,POINT (18.95146021028192 50.297419387498465)
222,POINT (18.951531726366944 50.297577164462695)
223,POINT (18.951616012578725 50.29759789576858)
224,POINT (18.9517734350448 50.29757420339933)
225,POINT (18.951944338005745 50.29754120798966)
226,POINT (18.952109778159315 50.29747470323616)
227,POINT (18.952323280240417 50.29738872381795)
228,POINT (18.952530522503277 50.297323253467134)
229,POINT (18.952504187972128 50.29731636672357)
230,POINT (18.95249255619942 50.297316010148535)
231,POINT (18.952476861906124 50.297316993053364)
232,POINT (18.952451397593634 50.29731524071025)
233,POINT (18.952441265332897 50.29730682411669)
234,POINT (18.952459749313842 50.29730070577253)
235,POINT (18.952476359241228 50.29729520775109)
236,POINT (18.95250657730492 50.297285205316186)
237,POINT (18.952526334027194 50.297278665667335)
238,POINT (18.952539853491057 50.29727419060291)
239,POINT (18.95257120811379 50.29726381193081)
240,POINT (18.952590430744078 50.29725222863159)
241,POINT (18.952622387039384 50.29724471195877)
242,POINT (18.952642289196138 50.29723799419812)
